Track,Artist,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Stream
Ayrılmam,Serdar Ortaç,spotify:track:5RAK8W7s92vto5ZFDGLOJ0,0.849,0.872,7.0,-3.892,0.0766,0.0159,0.000463,0.0389,0.803,96.977,223187.0,Serdar Ortaç - Ayrilmam,4751896.0
Ayyayo,S. P. Balasubrahmanyam-G. V. Prakash,spotify:track:5DYfTyqUNBmOnQtljQjYk2,0.608,0.705,7.0,-5.525,0.0364,0.499,0.000124,0.0878,0.733,75.031,324373.0,,27224724.0
Ayúdame,Mi Banda El Mexicano,spotify:track:0Z8Jg2ji4tKeaGWpBidTxv,0.786,0.776,11.0,-6.759,0.0625,0.00892,1.37e-06,0.0673,0.884,135.118,179769.0,Mi Banda El Mexicano (Canta Germán Román) - Help! Ayudame - 1995,32377405.0
Ayúdame a Imaginar,Pablo Chill-E,spotify:track:0wzC02iW7IaqAASCgDR2Qs,0.884,0.727,7.0,-5.063,0.0504,0.301,0.745,0.136,0.459,121.022,265527.0,Soto Asa & Pablo Chill-E - Ayúdame a Imaginar,8992562.0
"Azagiya Laila (From ""Ullathai Alli Thaa"")",Mano,spotify:track:2W3tcD6PY5nEWzXPTpnO0K,0.828,0.54,9.0,-12.246,0.177,0.375,1.2e-06,0.0718,0.47,100.029,279719.0,Azhagiya Laila (DOLBY MIX) - Ullathai Allitha,5279286.0
"Azhaiyaa Mazhai (From ""Pathaan"") - Tamil Version",Caralisa Monteiro,spotify:track:1b2tuYykyDmm5MS9aFuA3b,0.755,0.803,8.0,-5.48,0.0353,0.0568,0.00844,0.128,0.694,116.001,258474.0,"Azhaiyaa Mazhai Song | Pathaan | Shah Rukh Khan, Deepika Padukone, Vishal & Sheykhar, Shilpa, Madhan",469518.0
"Azhakooril (From ""Thirumalai"")",Sujatha,spotify:track:3yU77f8CS1rcZE4gqxQCKO,0.473,0.659,4.0,-9.292,0.0477,0.0905,3.98e-05,0.168,0.368,94.817,272827.0,,7665711.0
Azucar,Earl Sweatshirt,spotify:track:1mAEQbdq0dZQWfujWG6rCd,0.459,0.864,1.0,-2.163,0.263,0.171,2.95e-06,0.683,0.703,106.175,85840.0,Earl Sweatshirt - Azucar (Official Audio),16143620.0
Azukita,Steve Aoki,spotify:track:6tSaMs79oJxK3VZ7QFgoTj,0.715,0.93,8.0,-3.925,0.108,0.00158,0.000318,0.0589,0.824,130.025,226162.0,"Steve Aoki, Daddy Yankee, Play N Skillz & Elvis Crespo - Azukita (Official Video) [Ultra Music]",
Azul,Cristian Castro-Zoé,spotify:track:4blGxRC6rFcwN9ZTrndytl,0.639,0.814,1.0,-6.035,0.0302,0.00708,0.0,0.0915,0.549,127.995,257240.0,Cristian Castro - Azul (Official Video),122950928.0
Añejo W - Vivo,Los Caligaris,spotify:track:3Uk9wO7TSqWdBerbP3Iayd,0.412,0.86,1.0,-5.874,0.178,0.049,0.0,0.958,0.412,155.002,263168.0,"Los Caligaris Ft. Big Javy (Inspector) - Añejo w [Vivo Plaza Condesa, Mayo 2016]",21848303.0
Año Sabático,Kenia OS,spotify:track:1W3TtHJz099SGGq67IOVFL,0.773,0.809,10.0,-4.975,0.0387,0.188,0.0,0.115,0.73,129.971,162982.0,Kenia OS - Año Sabático (Letra / Lyrics),7968340.0
Aún Hay Algo,Anahí-Dulce María-Christian Chávez-RBD-Maite Perroni,spotify:track:6fqpsCQ7jF7OgQolXgYovX,0.611,0.82,4.0,-2.784,0.0316,0.0084,0.0,0.107,0.786,94.981,214933.0,RBD -  Aún Hay Algo (Official Video),31645833.0
Aşk,Sertab Erener,spotify:track:7rrh4xOcRcW2OM75Nj3GPv,0.394,0.613,9.0,-6.896,0.0565,0.237,3.48e-06,0.111,0.191,143.987,211200.0,Sertab Erener & Mando - Aşk (Fos) | Official Video,13466088.0
Aşk Yok Olmaktır,Mabel Matiz,spotify:track:3UPrUZ9mJWEPjXzgF7GS8f,0.602,0.576,9.0,-7.824,0.0647,0.246,0.0,0.275,0.498,80.176,223530.0,Mabel Matiz - Aşk Yok Olmaktır,37252102.0
Aşk İçinde,mor ve ötesi,spotify:track:5O3zj7zm9PtGH6KS4qGJRQ,0.615,0.816,11.0,-3.061,0.0289,0.000977,0.00526,0.0457,0.506,126.028,241280.0,mor ve ötesi - Aşk İçinde (Official Video),9488293.0
A・RA・SHI,ARASHI,spotify:track:1wQFwOgGGOct9tmdMwDSXo,0.439,0.953,9.0,-4.133,0.157,0.0305,0.0,0.132,0.475,120.432,267069.0,嵐 - A･RA･SHI [Official Music Video],13992721.0
B*tch,E-40,spotify:track:2twJtqTdddqsTJnEHUFZdm,0.853,0.855,5.0,-5.716,0.118,0.0375,0.0,0.343,0.683,94.976,203427.0,B*tch by E-40 feat. 50 Cent & Too Short (Remix) - CDQ / Dirty | 50 Cent Music,14464224.0
B-Side,Khruangbin-Leon Bridges,spotify:track:2DccHqTquzubziHAPZRdct,0.732,0.734,7.0,-10.574,0.0541,0.0777,0.172,0.327,0.687,104.764,274391.0,Khruangbin & Leon Bridges - B-Side (Official Video),27790237.0
B.E.D.,Jacquees,spotify:track:1B6TmCvKjC4dopBohVW51x,0.739,0.536,1.0,-6.501,0.0587,0.00368,0.0,0.0968,0.193,122.022,236147.0,Jacquees - B.E.D.,194608415.0
B.I.B.L.E. (Basic Instructions Before Leaving Earth),GZA,spotify:track:5mOzvm41Pdh1WOtBKlCtZd,0.509,0.816,1.0,-8.824,0.366,0.25,0.0,0.342,0.561,181.804,272867.0,B.I.B.L.E. (Basic Instructions Before Leaving Earth),6740422.0
B.O.B. - Bombs Over Baghdad,Outkast,spotify:track:3WibbMr6canxRJXhNtAvLU,0.746,0.978,9.0,-5.324,0.0978,0.0555,4.11e-05,0.026,0.653,153.809,304227.0,Outkast - B.O.B. (Bombs Over Baghdad) (Official HD Video),81911624.0
B.S. (feat. H.E.R.),Jhené Aiko,spotify:track:63wx9vdskaXbYxyDx4oJCZ,0.617,0.525,8.0,-10.426,0.12,0.554,1.1e-06,0.135,0.377,135.781,212867.0,Jhené Aiko - B.S. (Animated Visual) ft. H.E.R.,197879558.0
B.U.H.O,Omar Varela,spotify:track:3juYl7RDkfwMGX5a17ach5,0.896,0.715,2.0,-3.37,0.0544,0.195,0.0,0.0678,0.513,128.01,298394.0,Midel x Arse x Khea (Ft. Duki x Klave) - B.U.H.O (Prod. by Omar Varela & Mykka),49732582.0
B.Y.O.B.,System Of A Down,spotify:track:0EYOdF5FCkgOJJla8DI2Md,0.538,0.981,1.0,-2.688,0.14,0.00662,0.0,0.219,0.711,101.414,255467.0,System Of A Down - B.Y.O.B. (Official HD Video),441264205.0
B11 (feat. Myke Towers),Darell,spotify:track:4o1DxRjMCHDwBiOKv88rOl,0.759,0.717,0.0,-5.014,0.115,0.0672,0.000455,0.131,0.195,99.946,251929.0,Rvssian x Darell x Myke Towers x Zion y Lennox - B11 ( Video Oficial ),140710301.0
BABY OTAKU,Fran C-Polimá Westcoast,spotify:track:0kTMK4gNFfLXaTb62w1UaJ,0.835,0.747,9.0,-4.65,0.083,0.0492,0.0,0.055,0.432,102.003,176471.0,"BABY OTAKU - Pablito Pesadilla, Polimá Westcoast, NickoOg Clk & Fran C",130206023.0
BABY SAID,Måneskin,spotify:track:2KReCz1L5XkGIBhDncQ5VZ,0.622,0.715,6.0,-4.04,0.0323,0.000982,0.0,0.0796,0.607,131.012,164682.0,Måneskin: Baby Said,7793891.0
BACH TO BACH (with Dave East),Fabolous,spotify:track:4EuMKVhCd9cS7J19KDGDBn,0.468,0.576,1.0,-7.782,0.419,0.0746,0.0,0.109,0.0898,85.735,174514.0,Fabolous - Bach To Bach ft. Dave East (Official Music Video),1902260.0
BAD KID,Night Lovell,spotify:track:31UK3mm2N86FOhBz6FEhp6,0.877,0.317,1.0,-8.917,0.0604,0.122,0.0162,0.107,0.039,135.021,142251.0,Night Lovell - BAD KID,40767980.0
BADモード,Hikaru Utada,spotify:track:3TxjMrMGWFP0jkIy0tVvVn,0.525,0.666,5.0,-8.399,0.0551,0.524,0.000137,0.0948,0.466,117.282,303219.0,宇多田ヒカル『BADモード』,11220841.0
BAILÉ CON MI EX,Becky G,spotify:track:2Td8H23gwQZqKubcUOyCSI,0.761,0.784,4.0,-4.977,0.133,0.15,0.0,0.125,0.691,114.93,161880.0,Becky G - BAILÉ CON MI EX (Official Video),57020051.0
BALI - Bonus Track,Alonzo,spotify:track:7KREJ62hVm71DfV5zRGBNl,0.52,0.643,7.0,-5.308,0.107,0.0912,0.0,0.109,0.315,130.821,170120.0,BALI (Bonus Track),3851048.0
BAND$,Arizona Zervas,spotify:track:2sWoPLbQ4qCZ56D5yCX5W3,0.707,0.591,8.0,-5.878,0.0705,0.015,0.0,0.27,0.645,149.982,108072.0,Arizona Zervas - BAND$ (Official Video),6616666.0
BANG BANG BANG,BIGBANG,spotify:track:3dI59jLoFMjMAyUAyRZnkE,0.69,0.843,1.0,-2.949,0.0534,0.0167,0.0,0.346,0.428,135.01,220178.0,BIGBANG - 뱅뱅뱅 (BANG BANG BANG) M/V,196753877.0
BBIBBI,IU,spotify:track:4as4XEOR03oGm1STUKl6pa,0.839,0.617,7.0,-4.692,0.331,0.241,0.0,0.3,0.821,143.894,194426.0,[MV] IU(아이유) _ BBIBBI(삐삐),151886174.0
BEBE,6ix9ine,spotify:track:3eqOaTqnyb0GEgv6JInG6W,0.635,0.902,0.0,-3.559,0.109,0.172,0.0,0.125,0.285,102.062,217822.0,6ix9ine - BEBE ft. Anuel AA,520701154.0
BEBÉ,El Alfa,spotify:track:3Zf4GutWZ7Hv3wsVQsSQPs,0.862,0.72,4.0,-4.155,0.0361,0.476,0.0,0.0543,0.967,129.993,197284.0,"Camilo, El Alfa - BEBÉ (Official Video)",324741235.0
BECTE,Gazo,spotify:track:0Fqpx84jq1cK3pDtPvTFyM,0.845,0.632,1.0,-6.416,0.142,0.318,0.00354,0.121,0.516,154.045,138787.0,GAZO - BECTE (Visualizer),19076076.0
BED,RAYE-Joel Corry,spotify:track:0siYMEsGrzzzlWLXK5zJfS,0.671,0.782,6.0,-4.593,0.0341,0.0142,0.00221,0.333,0.618,123.989,178088.0,Joel Corry x RAYE x David Guetta - BED [Official Video],400358962.0
BEDOESIARA,Bedoes 2115-White 2115,spotify:track:110t5CmHOA2bnGP4XAzhmh,0.919,0.577,1.0,-8.753,0.221,0.226,0.0,0.116,0.745,105.001,170187.0,"2115 - BEDOESIARA 💅💅💅 ft. Bedoes 2115, White 2115 (prod. @atutowy, Abel de Jong)",27437244.0
BELIEVE IT,PARTYNEXTDOOR,spotify:track:6WHZvtFnceMMv08gUCHR0y,0.431,0.7,6.0,-5.35,0.265,0.0901,0.0,0.216,0.73,157.871,183219.0,PARTYNEXTDOOR & Rihanna - BELIEVE IT [Official Lyrics Video],299809099.0
BELLA FREGATURA,Ernia,spotify:track:11H6R8nu1QxB1yGWHgzKl7,0.631,0.674,8.0,-5.793,0.29,0.111,0.0,0.0961,0.44,167.785,174103.0,Ernia - BELLA FREGATURA (Official Video),11173465.0
BERETTA,Capital Bra,spotify:track:7G30f2Sqsgrxet5IWYLDnR,0.694,0.64,2.0,-6.0,0.127,0.0474,2.77e-06,0.39,0.195,89.964,212007.0,FARID BANG & CAPITAL BRA x SANNA - BERETTA [official Video],18997861.0
BERETTA (feat. Wifisfuneral),$NOT,spotify:track:0lB24x4SNbi8lLhUAsdoMO,0.807,0.564,6.0,-7.938,0.319,0.164,0.0,0.0804,0.225,96.004,160731.0,$NOT - Beretta ft. Wifisfuneral (Official Music Video),70354178.0
BEST INTEREST,"Tyler, The Creator",spotify:track:3jHdKaLCkuNEkWcLVmQPCX,0.596,0.575,11.0,-8.325,0.0514,0.0861,0.000153,0.334,0.34,98.265,127921.0,BEST INTEREST,251085348.0
BEST ON EARTH (feat. BIA) - Bonus,Russ-BIA,spotify:track:0xKBkLcF71uUQeTA7FSu4A,0.846,0.748,5.0,-3.512,0.078,0.188,0.0,0.093,0.597,90.006,160720.0,Russ - BEST ON EARTH (Feat. BIA) (Official Video) ft. BIA,201752935.0
BIELEFELD,Summer Cem,spotify:track:1ukq3qBP7zOokVa3nEc9bR,0.766,0.539,1.0,-6.61,0.416,0.271,0.0,0.0904,0.716,99.881,135425.0,SUMMER CEM - BIELEFELD [official Video] prod. by Geenaro & GhanaBeats,6527860.0
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,0.745,0.346,1.0,-7.709,0.331,0.00552,0.0,0.0881,0.112,203.911,237240.0,"YG - Big Bank ft. 2 Chainz, Big Sean, Nicki Minaj (Official Music Video)",347583428.0
BIG SHOT,Toby Fox,spotify:track:2hpQl8ryv3IonCg9LiAtGT,0.594,0.712,10.0,-9.017,0.0731,0.00126,0.884,0.0767,0.713,139.995,142286.0,BIG SHOT,20815726.0
BILLS PAID (feat. Latto & City Girls),City Girls,spotify:track:0JiLQRLOeWQdPC9rVpOqqo,0.74,0.687,1.0,-7.193,0.218,0.00828,0.0,0.352,0.63,105.034,208932.0,"DJ Khaled - BILLS PAID (Official Audio) ft. Latto, City Girls",8930963.0
BILLY,6ix9ine,spotify:track:5KhFaq45chTw8RGfWo8T8J,0.764,0.711,4.0,-3.818,0.288,0.175,0.0,0.105,0.774,90.076,112667.0,"6IX9INE ""Billy"" (WSHH Exclusive - Official Music Video)",313824036.0
BIZCOCHITO,ROSALÍA,spotify:track:4kXxEhuatrvwrTQycA7s9B,0.93,0.774,1.0,-4.203,0.0744,0.605,0.0238,0.12,0.781,116.972,109120.0,ROSALÍA - BIZCOCHITO (Official Audio),148611916.0
BLUE CHEESE (feat. Lazza),Nko-Lazza,spotify:track:4OAExi3KMGS19m7p0FxOoz,0.517,0.592,8.0,-8.46,0.124,0.103,0.0,0.287,0.223,102.407,190383.0,Rondo X BLUE CHEESE feat. Lazza (Official Visual Video),10768167.0
BLUTMOND,Kollegah,spotify:track:6R0nLLml4U4GnWc9ZuTIPL,0.744,0.723,2.0,-5.96,0.295,0.253,1.4e-05,0.366,0.775,167.97,160361.0,KOLLEGAH - BLUTMOND (Official Video),2356583.0
BO$$,Fifth Harmony,spotify:track:1COvXs6jaykXC73h9OSBVM,0.813,0.872,9.0,-5.224,0.107,0.00621,0.0,0.0498,0.736,103.016,171413.0,Fifth Harmony - BO$$ (BOSS),183465021.0
BO$$ CHICK,Saweetie,spotify:track:0FAKS4dY2MADctcsPbmUvm,0.799,0.61,9.0,-11.62,0.385,0.0743,0.0,0.349,0.807,180.08,134760.0,Saweetie - BO$$ CHICK (Official Audio),2152166.0
BODIES (feat. Damso),Damso-Gazo,spotify:track:3im90dPSC5z1PYJ305kgSy,0.906,0.518,1.0,-7.104,0.18,0.00864,0.00174,0.0711,0.259,146.06,166373.0,GAZO - BODIES (Ft Damso) (Visualizer),25492899.0
BOMBÓN,Lil Jon-El Alfa,spotify:track:4OAPnWJ3J5w4c4IBLh2chn,0.843,0.789,7.0,-2.801,0.247,0.0028,2.41e-05,0.0322,0.571,125.071,182413.0,Daddy Yankee x El Alfa x Lil Jon - Bombón (Official Video),85119241.0
BOOM,X Ambassadors-NCT DREAM,spotify:track:3V9cM3nCH2G66afoDi0snu,0.732,0.594,11.0,-5.911,0.0693,0.00805,0.0301,0.0802,0.676,107.996,164587.0,X Ambassadors - BOOM (Official Video),64129092.0
BOOMBAYAH,BLACKPINK,spotify:track:13MF2TYuyfITClL1R2ei6e,0.661,0.836,5.0,-3.164,0.059,0.00268,0.0,0.497,0.396,124.952,240793.0,BLACKPINK - '붐바야 (BOOMBAYAH)' M/V,414173416.0
BOP,DaBaby,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,11.0,-3.909,0.367,0.189,0.0,0.129,0.836,126.77,159715.0,DaBaby - BOP on Broadway (Hip Hop Musical),703580009.0
BORN FREE,M.I.A.,spotify:track:4KK5zXPdms6SRj1uZn1cmn,0.396,0.895,10.0,-1.753,0.0704,0.032,0.0125,0.165,0.182,96.176,247493.0,M.I.A. - Born Free,5468785.0
BORRACHA,Ovy On The Drums,spotify:track:3JWKzfp6YX4LXFk2ybAfql,0.812,0.741,11.0,-1.974,0.0441,0.172,5.83e-06,0.0943,0.902,95.0,204982.0,"Felix Klain, Ovy On The Drums - BORRACHA (Official Video)",11198191.0
BOYSHIT,Madison Beer,spotify:track:6XiqdnMk2LLbmybmyx30jD,0.638,0.699,1.0,-6.542,0.0892,0.0203,0.0,0.0879,0.57,121.122,160398.0,Madison Beer - BOYSHIT (Official Music Video),56550758.0
BRABA,Luísa Sonza,spotify:track:2WlZuBDgLfT7Kc0admhFdg,0.811,0.689,0.0,-5.113,0.0615,0.181,2.55e-05,0.0784,0.663,144.015,129782.0,Luísa Sonza - BRABA,139104368.0
BREAK MY SOUL,Beyoncé,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,0.693,0.887,1.0,-5.039,0.0795,0.0581,2.71e-06,0.27,0.864,114.942,278282.0,Beyoncé - BREAK MY SOUL (Music Video),276384322.0
BREAK MY SOUL - will.i.am Remix,will.i.am,spotify:track:5EooBH2mT6qcsPY8ZgZPVW,0.797,0.824,8.0,-4.009,0.18,0.0131,0.000128,0.0873,0.488,114.952,238732.0,"Beyoncé, will.i.am - BREAK MY SOUL (will.i.am Remix - Official Visualizer)",3911122.0
BRODIES,Gunna-Ufo361,spotify:track:1pGxSl5VmzBtejKSmuAKKU,0.761,0.41,2.0,-10.149,0.201,0.0207,1.14e-06,0.135,0.28,77.498,150594.0,Ufo361 feat. Gunna - BRODIES,4972667.0
BROWN SKIN GIRL,SAINt JHN,spotify:track:0B3FovCVaGKS5w1FTidEUP,0.603,0.602,6.0,-7.083,0.23,0.049,0.0,0.279,0.595,119.703,248472.0,"Beyoncé, Blue Ivy, SAINt JHN, WizKid - BROWN SKIN GIRL (Official Video)",114333996.0
BTBT,Soulja Boy,spotify:track:4XcxgZSriCYamtIA7BgT7V,0.766,0.664,9.0,-6.932,0.177,0.334,0.0,0.115,0.509,109.946,219550.0,B.I 비아이 - BTBT (Feat. DeVita) M/V,83003218.0
"BTX Posse (con Fabri Fibra, Ernia, Lazza, Tony Effe, Coez, Geolier, Guè, Paky & MamboLosco)",Fabri Fibra-Ernia,spotify:track:1pHJWDHje5vfV4sTvRNtuT,0.695,0.785,2.0,-6.814,0.309,0.122,0.0,0.0505,0.488,135.063,339556.0,"Night Skinny - BTX Posse (TESTO) ft. Fibra, Coez, Ernia, Lazza, Tony, Geolier, Guè, Paky, Mambolosco",10002986.0
BUBBLE (feat. thasup & Salmo),thasup-Salmo,spotify:track:3fIB4IEcvjlzItwnFUvIBk,0.803,0.709,9.0,-6.54,0.0432,0.0769,0.0,0.286,0.706,121.947,164328.0,"Takagi & Ketra feat. thasup, Salmo - BUBBLE (Official Video)",38977214.0
BUCKHEAD,Germ,spotify:track:5dol1hrERJOReznLRJ2VVQ,0.759,0.833,11.0,-5.01,0.0779,0.00026,0.0573,0.178,0.522,140.026,183919.0,$UICIDEBOY$ x GERM - BUCKHEAD (Lyric Video),8039704.0
BUONANOTTE,Ernia,spotify:track:5MNHrahj1qZFjh46GZmqLT,0.592,0.511,8.0,-12.734,0.416,0.875,0.0,0.111,0.593,88.979,220299.0,Ernia - BUONANOTTE (Visual),9601308.0
BURN IT DOWN,Linkin Park,spotify:track:7oVEtyuv9NBmnytsCIsY5I,0.585,0.972,9.0,-4.45,0.0534,0.0143,0.0,0.0707,0.585,110.006,230253.0,BURN IT DOWN [Official Music Video] - Linkin Park,368132993.0
BXL ZOO,Hamza,spotify:track:1VBt9dPtYfLnVeKaa6CQPr,0.745,0.656,11.0,-6.829,0.203,0.0604,0.0,0.11,0.405,137.997,201333.0,Damso   Bxl Zoo feat  Hamza (clip non officiel),48270134.0
BYE BYE,Red Velvet,spotify:track:4OSVR8gq2l3ceJiXNR7iiM,0.72,0.733,11.0,-3.489,0.0806,0.32,0.0,0.423,0.656,116.129,196080.0,Red Velvet (레드벨벳) - 'BYE BYE' Lyrics [Color Coded_Han_Rom_Eng],7744679.0
Baa Baa Black Sheep,Raffi-CoComelon,spotify:track:1Fmv83uTiON5klaC94cJxb,0.881,0.0517,7.0,-17.122,0.107,0.846,0.0,0.166,0.702,122.397,59520.0,Baa Baa Black Sheep,13754307.0
Baarish,Shashaa Tirupati,spotify:track:16BGhwv8wYXkv2mMJF7ryv,0.465,0.769,0.0,-3.209,0.0325,0.581,0.0,0.108,0.473,87.961,276380.0,"Baarish - Full Video | Half Girlfriend | Arjun Kapoor & Shraddha Kapoor| Ash King , Sashaa | Tanishk",48417535.0
Baarishon Mein,Darshan Raval,spotify:track:7doebiokA0utWXWcw7rD82,0.352,0.34,0.0,-10.002,0.0357,0.898,3.3e-06,0.0936,0.314,179.865,224667.0,@DarshanRavalDZ : Baarishon Mein | Malvika Sharma | Official Video | New Song 2022,16367058.0
"Baatein Ye Kabhi Na (From ""Khamoshiyan"") - Male",Jeet Gannguli,spotify:track:6CV2iSJV2W6yAITDxSSes3,0.558,0.506,1.0,-6.761,0.0236,0.704,3.05e-06,0.0896,0.358,90.001,289013.0,"Baatein Ye Kabhi Na Full Video - Khamoshiyan|Arijit Singh|Ali Fazal, Sapna|Jeet Gannguli",23344049.0
Baazigar,DIVINE,spotify:track:1T44wPr7LUlBY4vX6LlygG,0.816,0.767,5.0,-3.592,0.323,0.0346,0.0,0.228,0.835,141.769,169014.0,DIVINE - Baazigar feat. Armani White | Prod. by Karan Kanchan | Official Audio,22335112.0
Baba O'Riley,The Who,spotify:track:3qiyyUfYe7CRYLucrPmulD,0.489,0.724,5.0,-8.367,0.0352,0.313,0.185,0.287,0.15,117.292,300400.0,The Who - Baba O'Riley (Shepperton Studios / 1978),469305024.0
"Babalik Sa'yo (from ""2 Good 2 Be True"")",Moira Dela Torre,spotify:track:2e7iqtA42EPXTtiiAlblC1,0.515,0.65,1.0,-7.798,0.093,0.168,0.0,0.33,0.695,157.866,229712.0,"Moira Dela Torre - ""Babalik Sa'yo"" from 2 Good 2 Be True (Official Lyric Video)",44791908.0
Babel,Mumford & Sons,spotify:track:56gIMfbYgE8T317pqNNxrk,0.406,0.812,2.0,-6.13,0.0514,0.0262,0.000228,0.0787,0.648,81.374,208933.0,Mumford & Sons - Hopeless Wanderer (Official Music Video),130802455.0
Babies & Fools (feat. Conway the Machine),Freddie Gibbs,spotify:track:3RyLrayd9un9ClTah57JI0,0.651,0.493,8.0,-11.18,0.317,0.946,0.0,0.152,0.704,75.729,206027.0,Freddie Gibbs & The Alchemist - Babies & Fools featuring Conway The Machine (Official Video),11125246.0
Babooshka - 2018 Remaster,Kate Bush,spotify:track:6VpNGCU2ig4NQmsLfALdJU,0.49,0.362,5.0,-12.047,0.0382,0.762,1.14e-05,0.0671,0.292,108.866,199227.0,Kate Bush - Babooshka - Official Music Video,121818047.0
Baby,Ashanti-Caetano Veloso-Justin Bieber-Aya Nakamura,spotify:track:6cZPfzVtkicrA3CyjqYKhu,0.567,0.58,4.0,-5.757,0.223,0.0084,5.37e-06,0.0342,0.46,157.596,265707.0,Ashanti - Baby,33524355.0
Baby (Lil Baby feat. DaBaby),DaBaby-Lil Baby,spotify:track:5MPPttjfGap2C6j6eKcO6J,0.97,0.463,10.0,-7.259,0.366,0.0957,0.0,0.151,0.46,108.003,142417.0,"Quality Control, Lil Baby, & DaBaby - ""Baby"" (Official Music Video)",389570923.0
Baby (feat. Ashanti),Ashanti-Aitch,spotify:track:4wHkV6OpCanrNg2PRNhWjM,0.752,0.813,4.0,-8.069,0.237,0.2,0.0,0.163,0.559,103.836,177733.0,Ashanti - Baby,78362701.0
Baby Beluga,Raffi,spotify:track:7zQFM7bHcyMh4QQFdBkjrE,0.663,0.263,3.0,-13.043,0.106,0.847,2.17e-06,0.452,0.571,137.52,160827.0,Raffi - Baby Beluga (Official Animated Video),48897763.0
Baby C'mon,Ol' Dirty Bastard,spotify:track:1z8yXYruBCYvudpel8ZZYe,0.856,0.389,7.0,-7.633,0.282,0.131,0.000242,0.305,0.255,96.18,206427.0,Ol' Dirty Bastard - Baby C'mon (HD),3952819.0
Baby Can I Hold You,Tracy Chapman,spotify:track:2DjWsDGgL1xNbhnr7f6t5F,0.692,0.422,2.0,-10.533,0.0333,0.0811,0.0,0.0848,0.468,74.375,193120.0,Tracy Chapman - Baby Can I Hold You (Official Music Video),246317260.0
Baby Did A Bad Bad Thing,Chris Isaak,spotify:track:116Qy7Q95zaZgVUc5Z03wp,0.568,0.444,2.0,-10.815,0.0696,0.345,0.00052,0.113,0.592,152.712,174467.0,Baby Did a Bad Bad Thing - Official Music Video,32537942.0
Baby Don't Cry (Keep Ya Head Up II),Outlawz,spotify:track:3ceAaa8IDMI5YDiackOKXO,0.876,0.733,8.0,-4.044,0.221,0.174,2.01e-06,0.115,0.858,93.984,263307.0,"2Pac, The Outlawz - Baby Don't Cry (Keep Ya Head Up II)",8018242.0
Baby Don’t Like It 나쁜 짓,NCT 127,spotify:track:7I2nbddpDYsAe6e4biIxEO,0.699,0.555,5.0,-5.259,0.195,0.131,0.0,0.113,0.374,96.711,158920.0,NCT 127 (엔씨티 127) 'Baby Don't Like It' (나쁜 짓) Music Video || FMV,44434153.0
Baby I Need Your Loving,Four Tops,spotify:track:3aCbwWCYCT3MJjZeUnlcp4,0.632,0.686,0.0,-6.116,0.0395,0.437,0.0,0.193,0.65,121.414,166027.0,Four Tops - Baby I Need Your Loving (1966) HQ 0815007,57376232.0
Baby I'm-a Want You,Bread,spotify:track:7IX2e7pEShera9T1QIMvi7,0.613,0.289,8.0,-16.529,0.0305,0.743,1.57e-06,0.0617,0.553,144.188,150707.0,BABY I'M-A WANT YOU - BREAD (1971),54333758.0
Baby It's Cold Outside,Olivia Newton-John-John Travolta,spotify:track:261HyYPYNd6vbRj8kMWOXM,0.591,0.38,2.0,-9.456,0.0322,0.915,0.0,0.3,0.475,94.02,199880.0,Olivia Newton John Baby It's Cold Outside with John Travolta,13074838.0
Baby It's Cold Outside (with Michael Bublé),Idina Menzel,spotify:track:0Ie5uiv54KgCr7P4sYDTHl,0.553,0.476,0.0,-8.869,0.0649,0.647,0.0,0.281,0.558,113.401,166147.0,Idina Menzel & Michael Bublé - Baby It's Cold Outside,155711877.0
Baby Jane - 2008 Remaster,Rod Stewart,spotify:track:1wrT33b6HuKlpk9ziscEUY,0.641,0.796,2.0,-8.56,0.0407,0.0137,0.000115,0.358,0.727,123.229,283493.0,Rod Stewart - Baby Jane (Official Video),67064566.0
Baby Love,The Supremes,spotify:track:5uES1C2NgkdrNHiCwf9jRr,0.595,0.643,5.0,-9.275,0.0365,0.76,0.0,0.538,0.73,135.633,158040.0,Supremes - Baby Love 1964,167422755.0
Baby Me Atende,Dilsinho-Matheus Fernandes,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,0.65,0.792,6.0,-3.825,0.0393,0.607,2.36e-05,0.92,0.872,154.027,225672.0,Matheus Fernandes e Dilsinho - Baby Me Atende (Clipe Oficial),231893505.0
Baby Shark,Super Simple Songs-CoComelon,spotify:track:7e6klfDDVfvPDmx6fwXYN0,0.747,0.395,7.0,-11.447,0.0453,0.222,0.0,0.047,0.702,148.139,173627.0,Baby Shark - featuring @FinnyTheShark  | + More Kids Songs | Super Simple Songs,39581693.0
Baby You're Worth It,Kina,spotify:track:75SW8IItf7yy1VejSLtv9W,0.681,0.255,7.0,-16.305,0.0479,0.742,0.165,0.105,0.274,119.952,130947.0,Kina - baby you're worth it (ft. shiloh),132832171.0
